term,estimate,std.error,statistic,p.value,odds_ratio,or_low,or_high
(Intercept),1.701553307307432,0.1973348034021166,8.622672118511769,6.540954222089777e-18,5.482456721302257,3.7239472697554303,8.071363401159624
severityMinimal (0-4),1.113697370223288,0.11435080945438211,9.739304649763538,2.0495194107257466e-22,3.045598307064536,2.4340922686631226,3.810730253495628
severityModerate (10-14),-0.6397773554571891,0.1608000547013926,-3.978713543631949,6.928916192043425e-5,0.5274098358937962,0.38483536043736766,0.7228055516556203
severityModerately Severe (15-19),-0.9511158384291362,0.21136383930971483,-4.4998985708026,6.798589425605803e-6,0.3863097236336153,0.2552833048512191,0.584586613138903
severitySevere (20-27),-1.3150817134139612,0.3241209974729489,-4.057378953129125,4.962652351829987e-5,0.26845238618201195,0.1422246833010169,0.5067101010468609
sexMale,-0.047103726370682004,0.09645986511521898,-0.48832461370765695,0.6253199298343426,0.9539884386997176,0.7896530652029654,1.1525237870618568
age_group26-35,-0.20576513331150148,0.16753937737036895,-1.228159830489457,0.21938697471201962,0.8140242410107724,0.586175363560882,1.1304389541856625
age_group36-45,0.014121303402727528,0.17362371689016676,0.08133280208291228,0.9351772881035219,1.0142214799935478,0.721678934129783,1.4253501963732202
age_group46-55,0.036073591429776425,0.1696344812250041,0.21265482801181332,0.831596202823224,1.0367321382840298,0.7434870860930378,1.4456384605131898
age_group56-65,0.24916571418282657,0.1669549901712563,1.4924124994840915,0.13559104024183508,1.2829546192313834,0.9249088807750625,1.779605093236686
age_group66+,0.741888046795292,0.1763432363398416,4.207068341229459,2.5870492394061656e-5,2.0998964768901796,1.4862581530386316,2.96689051268819
race_ethnicityNon-Hispanic Black,-0.350195441177728,0.1702709088179721,-2.056695671672863,0.03971550878489316,0.7045503781062261,0.50463479473166,0.9836643062902207
race_ethnicityNon-Hispanic White,-0.42928594979299534,0.15984669490413286,-2.6856104222264783,0.007239744789731844,0.6509737567533285,0.4758846838819221,0.8904821826261757
race_ethnicityOther Hispanic,-0.221197760854989,0.21126276403665717,-1.0470267293133018,0.29508725046359313,0.8015581477903202,0.5297949841438052,1.2127247020418235
race_ethnicityOther Race / Multi-Racial,-0.03303243547740488,0.1854791513043326,-0.17809244459613438,0.8586503755223673,0.9675071775228931,0.6726266272537672,1.391663815600265
