term,estimate,std.error,statistic,p.value,odds_ratio,or_low,or_high
(Intercept),1.7416299957066643,0.21060386044839857,8.269696443353622,1.3430051762244015e-16,5.706637640700274,3.776712847465905,8.622766537336323
severityMinimal (0-4),1.0224957795890632,0.1557711634855242,6.564088992530917,5.235193048798735e-11,2.780124691040812,2.0486681709772405,3.7727404599876686
severityModerate (10-14),-0.7534474955010843,0.20734589053906524,-3.6337710554197367,2.793087250778829e-4,0.4707408750439792,0.3135369781291219,0.7067650289909742
severityModerately Severe (15-19),-0.8747301453679147,0.2843709652516624,-3.0760177804854187,0.0020978533464735896,0.4169745270050879,0.23881000639616817,0.7280589234719211
severitySevere (20-27),-1.092955935371557,0.4210066676108278,-2.596053743219737,0.009430131391370637,0.335224126889145,0.1468837470990624,0.7650622854331235
sexMale,-0.1600666146010332,0.18560832229336433,-0.8623892109106992,0.3884733756367003,0.8520870256383406,0.5922347168402572,1.2259536271951303
age_group26-35,-0.20048889336566197,0.16783663465071072,-1.1945478636586389,0.23226372952796923,0.818330578873766,0.5889331185849652,1.1370814701826975
age_group36-45,0.01725166785064173,0.17379200283801713,0.09926617778104065,0.920926931968296,1.0174013373163207,0.7237028503683348,1.4302907341683286
age_group46-55,0.03587797721494185,0.16988317940687406,0.21119205173935013,0.8327374126788925,1.036529358574749,0.7429794178942601,1.4460603959022278
age_group56-65,0.24759931251809708,0.16726871101747987,1.4802488224604213,0.13880685549134208,1.2809465700963822,0.9228935913068281,1.7779125685749535
age_group66+,0.7409253124092182,0.1766220688864995,4.1949758435077,2.7290067048985316e-5,2.097875807184859,1.4840167303712697,2.965655852997335
race_ethnicityNon-Hispanic Black,-0.34542612656018173,0.17027527082169516,-2.0286335466874514,0.042495629040561186,0.7079186262562812,0.5070429703560152,0.9883753659945302
race_ethnicityNon-Hispanic White,-0.41801722181765977,0.16004837707145997,-2.6118179357171445,0.009006220224296075,0.6583508903282067,0.4810874211385854,0.9009295935656709
race_ethnicityOther Hispanic,-0.21444203646924875,0.21134269823347301,-1.0146649884840206,0.3102655489067529,0.806991586457911,0.5333026920909066,1.221136570791671
race_ethnicityOther Race / Multi-Racial,-0.02314168966986583,0.1855805255563214,-0.12469891224035042,0.9007619185864488,0.9771240255838582,0.6791774563627977,1.4057759903962301
severityMinimal (0-4):sexMale,0.1956344101470291,0.2288152177562668,0.8549886325979342,0.39255744083022975,1.2160822367299775,0.7765958730922644,1.9042800222484413
severityModerate (10-14):sexMale,0.28253158425464214,0.3294886385501177,0.8574850577485602,0.39117686928128453,1.3264836704331548,0.6954095818363369,2.530248322548887
severityModerately Severe (15-19):sexMale,-0.17573160716030564,0.4275757243461048,-0.4109952861076327,0.6810759912246391,0.8388430926065473,0.3628504084661696,1.9392502188111003
severitySevere (20-27):sexMale,-0.6001958588476947,0.6760454309391505,-0.8878040311786637,0.37464617414238666,0.5487041570050885,0.14584358671791486,2.0643777260977205
